BranchCode,BranchName,IFSCCode,MICRCode,ManagerName,State,District,City,Pincode,Phone
BR1020,River View,LOMX09508,526201330,Aarav Sharma,Uttar Pradesh,Ballia,Ballia,277001,5400150165
BR1021,Station Road,LOMX09509,526201331,Rohan Verma,Uttar Pradesh,Deoria,Deoria,274001,5400150166
BR1022,Green Park,LOMX09510,526201332,Kabir Singh,Uttar Pradesh,Kushinagar,Padrauna,274304,5400150167
BR1023,Market Chowk,LOMX09511,526201333,Aditya Gupta,Uttar Pradesh,Maharajganj,Maharajganj,273303,5400150168
BR1024,Civil Lines,LOMX09512,526201334,Vivaan Mishra,Uttar Pradesh,Basti,Basti,272001,5400150169
BR1025,Main Road,LOMX09513,526201335,Arjun Tiwari,Uttar Pradesh,Sant Kabir Nagar,Khalilabad,272175,5400150170
BR1026,Railway Colony,LOMX09514,526201336,Krish Pandey,Uttar Pradesh,Siddharthnagar,Naugarh,272207,5400150171
BR1027,Industrial Area,LOMX09515,526201337,Mohit Yadav,Uttar Pradesh,Gonda,Gonda,271001,5400150172
BR1028,Shiv Nagar,LOMX09516,526201338,Aman Srivastava,Uttar Pradesh,Bahraich,Bahraich,271801,5400150173
BR1029,Lotus Enclave,LOMX09517,526201339,Rahul Chauhan,Uttar Pradesh,Shrawasti,Bhinga,271831,5400150174
BR1030,Royal Avenue,LOMX09518,526201340,Kunal Saxena,Uttar Pradesh,Balrampur,Balrampur,271201,5400150175
BR1031,Crystal Plaza,LOMX09519,526201341,Saurabh Agarwal,Uttar Pradesh,Barabanki,Barabanki,225001,5400150176
BR1032,Metro Point,LOMX09520,526201342,Nitin Sharma,Uttar Pradesh,Sultanpur,Sultanpur,228001,5400150177
BR1033,Prime Square,LOMX09521,526201343,Deepak Verma,Uttar Pradesh,Amethi,Gauriganj,227409,5400150178
BR1034,Elite Market,LOMX09522,526201344,Pankaj Singh,Uttar Pradesh,Raebareli,Raebareli,229001,5400150179
BR1035,Sunrise Nagar,LOMX09523,526201345,Manish Gupta,Uttar Pradesh,Unnao,Unnao,209801,5400150180
BR1036,Harmony Vihar,LOMX09524,526201346,Akash Mishra,Uttar Pradesh,Hardoi,Hardoi,241001,5400150181
BR1037,Galaxy Road,LOMX09525,526201347,Harsh Tandon,Uttar Pradesh,Sitapur,Sitapur,261001,5400150182
BR1038,Velocity Park,LOMX09526,526201348,Abhishek Jain,Uttar Pradesh,Lakhimpur Kheri,Lakhimpur,262701,5400150183
BR1039,Summit Colony,LOMX09527,526201349,Ayush Srivastava,Uttar Pradesh,Shahjahanpur,Shahjahanpur,242001,5400150184
BR1040,Central Plaza,LOMX09528,526201350,Prateek Shukla,Uttar Pradesh,Pilibhit,Pilibhit,262001,5400150185
BR1041,Crown Avenue,LOMX09529,526201351,Sachin Pandey,Uttar Pradesh,Badaun,Badaun,243601,5400150186
BR1042,Orbit Tower,LOMX09530,526201352,Hemant Sharma,Uttar Pradesh,Sambhal,Sambhal,244302,5400150187
