Branch Code	Branch Name	IFSC Code	MICR Code	Manager Name	State	District	City	Pincode	Phone
BR870	Gomti Nagar	LOMX09358	526201180	Aarav Sharma	Uttar Pradesh	Lucknow	Lucknow	226010	5400150015
BR871	Hazratganj	LOMX09359	526201181	Rohan Verma	Uttar Pradesh	Lucknow	Lucknow	226001	5400150016
BR872	Civil Lines	LOMX09360	526201182	Aditya Singh	Uttar Pradesh	Prayagraj	Prayagraj	211001	5400150017
BR873	Katra	LOMX09361	526201183	Ishaan Gupta	Uttar Pradesh	Prayagraj	Prayagraj	211002	5400150018
BR874	Sigra	LOMX09362	526201184	Vivaan Mishra	Uttar Pradesh	Varanasi	Varanasi	221010	5400150019
BR875	Lanka	LOMX09363	526201185	Arjun Tiwari	Uttar Pradesh	Varanasi	Varanasi	221005	5400150020
BR876	Cantt Road	LOMX09364	526201186	Krish Pandey	Uttar Pradesh	Gorakhpur	Gorakhpur	273001	5400150021
BR877	Basharatpur	LOMX09365	526201187	Mohit Yadav	Uttar Pradesh	Gorakhpur	Gorakhpur	273004	5400150022
BR878	Rajendra Nagar	LOMX09366	526201188	Aman Srivastava	Uttar Pradesh	Bareilly	Bareilly	243001	5400150023
BR879	Pilibhit Road	LOMX09367	526201189	Rahul Chauhan	Uttar Pradesh	Bareilly	Bareilly	243006	5400150024
BR880	Nehru Nagar	LOMX09368	526201190	Kunal Saxena	Uttar Pradesh	Ghaziabad	Ghaziabad	201001	5400150025
BR881	Vaishali	LOMX09369	526201191	Saurabh Agarwal	Uttar Pradesh	Ghaziabad	Ghaziabad	201010	5400150026
BR882	Sector 18	LOMX09370	526201192	Nitin Sharma	Uttar Pradesh	Gautam Buddha Nagar	Noida	201301	5400150027
BR883	Sector 62	LOMX09371	526201193	Deepak Verma	Uttar Pradesh	Gautam Buddha Nagar	Noida	201309	5400150028
BR884	Alpha 1	LOMX09372	526201194	Pankaj Singh	Uttar Pradesh	Gautam Buddha Nagar	Greater Noida	201310	5400150029
BR885	Surajkund	LOMX09373	526201195	Manish Gupta	Uttar Pradesh	Agra	Agra	282001	5400150030
BR886	Tajganj	LOMX09374	526201196	Akash Mishra	Uttar Pradesh	Agra	Agra	282004	5400150031
BR887	Shastri Nagar	LOMX09375	526201197	Harsh Tandon	Uttar Pradesh	Meerut	Meerut	250004	5400150032
BR888	Ganga Nagar	LOMX09376	526201198	Abhishek Jain	Uttar Pradesh	Meerut	Meerut	250001	5400150033
BR889	Naveen Market	LOMX09377	526201199	Ayush Srivastava	Uttar Pradesh	Kanpur Nagar	Kanpur	208001	5400150034
BR890	Kakadeo	LOMX09378	526201200	Prateek Shukla	Uttar Pradesh	Kanpur Nagar	Kanpur	208025	5400150035
BR891	Rani Bazar	LOMX09379	526201201	Sachin Pandey	Rajasthan	Bikaner	Bikaner	334001	5400150036
BR892	MI Road	LOMX09380	526201202	Hemant Sharma	Rajasthan	Jaipur	Jaipur	302001	5400150037
BR893	Malviya Nagar	LOMX09381	526201203	Yash Gupta	Rajasthan	Jaipur	Jaipur	302017	5400150038
BR894	Sardarpura	LOMX09382	526201204	Gaurav Singh	Rajasthan	Jodhpur	Jodhpur	342003	5400150039
BR895	Hiran Magri	LOMX09383	526201205	Mukesh Meena	Rajasthan	Udaipur	Udaipur	313001	5400150040
BR896	Civil Lines	LOMX09384	526201206	Rajat Sharma	Madhya Pradesh	Indore	Indore	452001	5400150041
BR897	Vijay Nagar	LOMX09385	526201207	Rohit Gupta	Madhya Pradesh	Indore	Indore	452010	5400150042
BR898	MP Nagar	LOMX09386	526201208	Nikhil Verma	Madhya Pradesh	Bhopal	Bhopal	462011	5400150043
BR899	Arera Colony	LOMX09387	526201209	Vikas Tiwari	Madhya Pradesh	Bhopal	Bhopal	462016	5400150044
BR900	Sitabuldi	LOMX09388	526201210	Siddharth Jain	Maharashtra	Nagpur	Nagpur	440012	5400150045
BR901	Dharampeth	LOMX09389	526201211	Varun Agrawal	Maharashtra	Nagpur	Nagpur	440010	5400150046
BR902	FC Road	LOMX09390	526201212	Ankit Kulkarni	Maharashtra	Pune	Pune	411004	5400150047
BR903	Kothrud	LOMX09391	526201213	Omkar Patil	Maharashtra	Pune	Pune	411038	5400150048
BR904	Andheri East	LOMX09392	526201214	Ritesh Shah	Maharashtra	Mumbai Suburban	Mumbai	400069	5400150049
BR905	Borivali West	LOMX09393	526201215	Karan Mehta	Maharashtra	Mumbai Suburban	Mumbai	400092	5400150050
BR906	Salt Lake	LOMX09394	526201216	Soumik Roy	West Bengal	Kolkata	Kolkata	700091	5400150051
